English,Polish
car,samochód
be,Być
to,Do
of,z
and,I
a,A
in,W
that,To
have,Posiadać
I,I
it,To
for,Do
not,nie
on,NA
with,z
he,On
as,Jak
you,Ty
do,Do
at,Na
this,Ten
but,Ale
his,jego
by,przez
from,z
they,Oni
we,My
say,mowić
her,jej
she,ona
or,Lub
an,jakiś
will,będzie
my,Mój
one,jeden
all,Wszystko
would,zrobiłbym
there,Tam
their,ich
what,Co
so,Więc
up,w górę
out,na zewnątrz
if,Jeśli
about,o
who,Kto
get,Dostawać
which,Który
go,Iść
me,Ja
when,Kiedy
make,robić
can,Móc
like,tak jak
time,czas
no,NIE
just,Tylko
him,jego
know,wiedzieć
take,Brać
person,osoba
into,do
year,rok
your,twój
good,Dobry
some,Niektóre
could,mógł
them,ich
see,Widzieć
other,Inny
than,niż
then,Następnie
now,Teraz
look,Patrzeć
only,tylko
come,przychodzić
its,jego
over,nad
think,myśleć
also,Również
back,z powrotem
after,Po
use,używać
two,dwa
how,Jak
our,nasz
work,praca
first,Pierwszy
well,Dobrze
way,sposób
even,nawet
new,nowy
want,chcieć
because,ponieważ
any,każdy
these,te
give,dawać
day,dzień
most,bardzo
us,nas